word,frequency
coming,1048
shit-eating,2
grin?,1
they're,1472
bred,11
Their,123
mothers,24
liked,292
their,2251
grandmothers,1
them.,1482
gene,12
pool,68
rarely,20
diluted.,1
girls,275
"haircut,",9
matter.,216
older,90
impossibility.,4
Bianca,7
Stratford.,5
Sophomore.,1
Don't,4254
she?,257
"burn,",5
"pine,",1
perish?,1
these,2157
seen,1315
horse.,53
jack,17
off,2540
Clint,6
Eastwood.,2
Couple,45
thousand.,95
Most,183
evil,120
many,1135
here?,1456
Get,1412
out!,268
Thirty-two.,2
old,1830
school?,96
Yeah.,2085
couple.,24
We're,2269
outnumbered,6
"cows,",6
People,338
live,1025
there?,812
"North,",4
actually.,85
How'd,288
?,790
which,893
Dakota,6
from?,197
C'mon.,55
tour.,25
me...,563
guy?,169
girl.,469
worst?,2
kissed,47
makin',60
headway?,1
needs,424
cool,127
day.,688
fire,323
thousand,670
suns,6
direct,76
quote,28
don,15
decided,237
nail,68
drunk,118
remember,1140
What'd,276
"Then,",123
girl?,143
partial,17
're,10
about?,756
off.,741
thing.,873
"Cameron,",8
"it,",2758
man,2358
noodles,3
book,294
around,1946
chicks,21
play,819
instruments?,3
Likes:,1
Thai,9
"food,",52
feminist,5
"prose,",2
"""angry,",1
stinky,1
music,149
indie-rock,1
"persuasion"".",1
retrieved,3
certain,257
pieces,69
information,185
Miss,741
Stratford,3
you'll,1321
helpful.,17
What've,13
Yeah,305
see.,571
strictly,34
non-,11
prison-movie,1
type,104
would,5150
Leave,212
alone.,455
Your,2022
Away.,4
ya,734
goin?,3
They're,1499
running,484
rest,609
month.,108
noticed,90
featured,1
Kmart,1
spread,53
elbow.,6
Tough,26
break.,111
vintage,4
"over,",199
Kat.,9
Haven't,116
reading,153
Sassy?,1
Enough,51
Barbie,5
n',11
Ken,7
shit.,616
Dorsey.,2
..the,2
limo.-the,1
flowers.,33
Another,162
hundred,960
tux,3
human,351
deal's,16
time.,1733
"sister,",51
then.,538
bucks,161
upped,6
price,97
under,778
control.,117
acts,25
crazed,7
image.,26
Watching,17
bitch,147
trash,32
car,660
count,141
When,1874
shell,21
"fifty,",9
results.,15
"Fifty,",2
man.,1433
Take,835
leave,1302
negotiation.,3
"Fine,",83
thirty.,38
take,4674
bucks.,94
much?,140
gets,801
catch.,20
pay,729
Verona.,7
pick,539
"tab,",3
honors.,2
cake?,10
money,1138
"Sure,",300
Sparky.,2
whatever.,50
her.,1552
Two,482
"legs,",17
rack...,1
higher,53
better,1923
fuck,1177
heavily,15
invested.,3
took,1039
bathes,2
together,416
kids.,197
Verona?,2
"Uh,",381
yeah.,370
friend*,1
helpin',5
recruit,9
who'll,36
Someone,255
who's,517
job.,495
Does,477
conversation,74
purpose?,11
insane,46
no,5622
"actually,",63
run,927
idea,675
interested.,65
chat.,5
Nope,3
came,1521
chat,37
lost?,12
Hey.,190
honey,34
haven't',1
progressed,3
full-on,3
hallucinations.,5
William,82
meet,943
good.,1019
Something,432
us.,1336
looking,1272
wrong,869
perspective.,13
statement.,25
"Okay,",990
"okay,",299
dress,123
anyway,48
Listen,335
you!,693
sound,396
"Betty,",26
pissed,93
Archie,4
taking,715
Veronica.,19
"not,",256
dates,22
imagine?,4
bastion,3
commercial,27
excess?,1
drunk.,92
puked.,1
rejected.,6
fun.,167
favor,117
backfired.,1
Where's,735
done,1147
choice.,163
party?,64
officially,27
opposed,31
suburban,6
activity.,8
cares?,38
say?,601
fear.,56
this'll,19
work?,145
"""Any",3
school,462
"want,",196
precious.,5
"tiara.""",1
matter?,212
appreciate,240
efforts,15
toward,102
speedy,2
"death,",57
consuming.,1
Neither,87
heterosexuality.,1
proven,17
gone,549
school.,296
huge,75
raging,5
fit,139
Sarah,41
Lawrence,8
insists,11
"male-dominated,",1
puking,6
frat,6
"boy,",174
golf,42
team,114
all.,1089
foul.,8
imagine,200
during,175
sex.,83
realize,252
fine,298
institution,14
severely,8
"lacking,",1
killing,240
Shakespeare,18
beyond,145
scope,16
normal,117
teenage,15
obsessions.,3
venturing,2
far,577
past,251
daytime,6
show,1025
fodder,1
entering,32
world,766
very,3253
expensive,48
therapy.,20
An,408
attempted,16
slit.,2
this?,1210
little.,159
"Mandella,",1
eat.,101
Starving,1
slow,145
way,2917
die.,289
Block,6
E?,1
incapable,15
interesting.,92
Pat,29
year?,47
porn,19
movies.,78
Verona,5
Random,7
skid.,1
Who's,567
Don,80
dare.,10
Bianca?,2
freshman,11
yearbook?,4
veggie,1
burger,10
burnt,21
object,47
grill?,1
fucked,266
fell,167
"Besides,",231
cash.,83
Some,640
asshole,74
paid,284
Fender,3
Strat.,1
bought,251
care,1222
money.,770
Really?,398
like?,212
down,2761
payment,28
"now,",1046
bonus,15
sleeping,126
By,367
person,435
truly,108
hate.,11
set-up!,1
Wait,454
I...,610
worse,173
adorable!,2
She'd,46
lived,227
alone,310
grandfather,35
died,310
stayed,110
"jail,",41
Marilyn,7
"Manson,",2
slept,98
Spice,3
Girl.,5
spent,200
year,394
sitting,297
grandma,8
couch,17
watching,257
Wheel,3
Fortune.,5
grandmother's,11
"Look,",1108
sorry,815
questioned,24
motives.,3
wrong.,385
huh,61
had.,111
Scurvy's.,1
His,641
convicted.,4
Where'd,180
dress?,22
minute?,56
Nothing!,22
There's,2018
nothing,1409
pleasure,117
company.,106
Answer,79
"question,",82
Has,167
anyone,664
motive,8
Create,5
drama?,2
Start,65
rumor?,2
tradition.,17
request,41
command?,7
Go,1093
amazingly,5
self-assured.,1
knows,758
sexy.,18
real.,153
knows.,95
peas.,2
Tell,1232
true.,337
career's,4
Hearsay.,1
duck?,2
Fallacy.,1
State,112
trooper?,1
For.,1
disappointed,26
How?,190
screwed,67
disappoint,32
"start,",27
covered?,3
expect.,16
change.,168
Yes,619
Acting,6
excuse?,2
"well,",758
soft,69
side?,28
knew?,15
dazzled,4
wit,14
how'd,54
Chapin,4
way?,126
Good,1191
call.,182
ridiculous,47
win,182
respect.,48
Partridge,3
Family?,4
Maybe.,162
climb,59
down?,131
stayin'.,1
Put,320
foot,110
Try,241
lookin',123
angle,18
bad,1273
afraid,790
heights.,7
Look,956
"up,",857
sunshine,5
left!,20
sprung,4
dickhead,2
cruised,2
Other,63
than,2692
upchuck,1
reflex?,1
Nothing.,379
effect,47
whatsoever,10
panties.,9
Unwelcome?,1
panties,13
twist.,5
Unwelcome.,1
Wholesome.,1
Pleasant?,1
poetry,27
reading.,31
Excuse,406
"me,",3172
Feminine,1
Mystique?,1
lost,662
copy.,30
"offense,",30
without.,6
likes,252
BIANCA,1
wants,953
dad?,26
pain,140
ass?,24
gettin',159
now,2029
strike,72
permission.,27
father,733
wouldn't,1782
approve,17
band?,11
This.,21
this.,1654
Why'd,91
lie?,27
why'd,41
ask?,49
weren't,450
Were,211
jail?,28
Busy,9
saw,1433
there.,1984
control,228
Kat!,2
Wake,44
up!,349
above,97
"""cool""?",2
"""laid",1
"back""",3
else?,248
It'd,49
deal,505
mainline,1
tequila.,3
type.,71
down.,865
See,532
affection,13
blind,91
hatred?,2
die,404
words,182
shitfaced.,2
patronizing.,1
concussion?,1
dog,219
concussion,6
woke,101
vegetable.,4
difference...,4
uh.,38
lie,226
awhile,31
okay.,695
fine.,725
Okay?,179
"Funny,",33
"say,",508
"""I'm",46
"trashed,",1
"man.""",5
Isn't,408
"Why,",335
Raincoats,1
are?,141
Bikini,2
Kill,95
"Raincoats,",1
sort,524
nan,267
hey.,19
"show,",56
Depends,36
topic.,6
fenders,1
whip,29
into,2977
verbal,5
frenzy.,5
"talker,",3
Hi,109
laundromat.,3
car.,434
Thought,101
hi.,37
following,141
Seven-thirty?,1
covered,77
vomit.,9
Come,1838
"ponies,",2
flat,46
"beer,",25
"eyes,",87
hand,372
ass...,12
spend,265
Dollar,9
Night,42
track,87
warrant,23
strong,158
emotion.,7
lot,1632
where?,108
7-Eleven,2
Burnside?,1
"name,",166
screwboy?,1
places,95
before.,440
back.,1206
right.,2117
Friday.,47
Pick,55
"Friday,",11
mission,96
life.,839
guy's,203
attention.,83
Sweating,1
"pig,",7
yourself?,133
Wo-man.,1
doin'?,73
Christ.,93
changed,206
mind.,444
already,897
check.,78
fathers,20
admit,171
daughters,14
capable,80
lives.,103
spectators.,2
lets,74
innings.,5
You've,1211
bleachers,4
years.,616
"Lawrence,",4
able,535
watch,570
game.,210
impressed.,39
Upset,2
rubbed,11
beat,337
guy.,409
Which,454
parts?,9
Parts,4
dance.,60
Was,448
fun?,38
understand,922
allure,1
dehydrated,1
food.,101
hip,14
to?,273
Funny.,16
left,1144
bikers,3
Big,336
ones.,85
Full,38
sperm.,3
East,62
Coast,23
school!,12
choices.,17
eighteen.,14
want.,389
forty-five,23
"parent,",4
decisions,22
agree,109
punishing,11
Lawrence?,1
seizure.,2
insurance,90
cover,164
PMS,10
Enough!,13
whose,139
diary,14
devoted,20
grooming,3
tips?,3
decided.,12
U,7
0.,3
Am,283
feel,1936
better?,66
"Like,",42
Or,796
"""heinous",1
"bitch""",1
term,38
most,941
often.,34
Tempestuous?,1
perceive,4
somewhat,18
maintain,31
kicked,81
balls.,34
merely,47
spectator.,1
"yes,",434
compared,32
choices,18
expression,24
"year,",79
today's,26
events,32
quite,643
mild.,4
"way,",429
Bobby,69
Rictor's,1
gonad,1
retrieval,1
operation,56
Expressing,2
opinion,59
terrorist,18
action.,54
"My,",26
my.,22
terrorizing,4
Ms.,103
Blaise,1
again.,1091
Yeah...,211
"fan,",10
too?,190
"Macbeth,",2
guess.,336
Cool,34
pictures.,76
fan?,4
Tired,6
breathing?,8
Man,129
shit,758
Sweet,52
"love,",120
renew,4
thy,75
force!,3
sweet-payin',1
job,664
lose.,45
cozy,12
stings?,1
likin',3
prefer,110
simply,139
alternative,20
law,173
allows.,2
Ever,161
Skunk?,1
telling,712
"""non-smoker""?",1
enough.,363
What?!,127
guys.,203
tame,5
wild,113
beast?,5
"Patrick,",21
"Pat,",8
picture.,95
Joey's,10
pawn.,2
plow,3
whoever,69
wants.,51
speak,427
correctly,6
Cameron's,1
pure.,4
Purer,1
Dorsey's.,1
chick?,6
three,1331
tits?,8
situation,139
here,4163
major,125
jones,1
plan?,29
standin',13
waitin',45
Say,280
week!,19
demented.,4
prestige,4
title...,3
benefits,13
package,30
good...,51
"abused,",1
aren't,716
"stupid,",61
"tell,",33
slightly,34
psychotic,17
fuck-up?,1
discuss?,3
driving,186
hemorrhoid?,1
"loss,",5
absence?,4
Touch,5
flu.,6
"understand,",122
Patrick.,16
asinine,2
feeling,369
well?,73
teeth,72
zipper?,1
bratwurst.,1
eating,130
lunch.,91
exposed,20
freshmen,1
missed,211
Absolutely,71
happened?,423
--?,38
"time,",606
honey!,14
Ruth?,4
watch?,25
We've,742
"crap,",22
Kissing?,1
happens?,22
Kissing,3
keeps,183
elbows,7
placenta,1
They'll,360
"dance,",14
they'll,420
"kiss,",14
home.,762
Pirate,9
question.,261
rather,388
ravished,1
pirate,23
British,106
rear,16
admiral?,1
helping.,9
Tumescent!,1
Jesus!,99
grab,122
sandwich,19
women,334
dilating?,1
side,381
country.,179
synonym,1
throbbing?,1
Make,315
cry,82
today?,181
microwave.,3
"far,",64
"Also,",24
smell,173
sea,76
Smells,23
cunt.,13
Bad,114
sign...,2
weeks,238
"ago,",179
Alonso.,1
near.,15
land.,63
We'll,1163
crazy...,8
devil's,12
child...,11
face,465
hear?,70
"Ah,",307
harm.,17
"to,",286
chicken,67
You'll,872
drinking,94
piss...,2
glory,27
Spain...,2
Admiral,39
Colon...!,1
Bastard!,5
water's,16
putrid,1
barrels.,5
heat,75
this!,176
Las,46
Minas!,1
IF-GOD-WILLS-IT!,1
Asia,8
west,34
prove,226
Blind,6
faith,64
consider,146
heresy!,1
considered,73
heretical?,1
choose,102
carpenter's,2
son,385
reveal,25
Himself,1
world?,35
God,721
intended,31
proximity,3
"Asia,",1
waited,90
Portuguese,5
discovered,78
black-skinned,1
"I,",306
"too,",333
populations,1
bring,791
word,552
interests,41
Gold?,1
"Trade,",4
Excellency.,7
According,60
Marco,7
"Polo,",1
Kingdom,3
China,35
richest,15
world.,437
Even,396
meanest,6
buildings,32
roofed,1
gold.,61
follow,309
yes.,449
"life,",309
others!,2
"Eminence,",2
settle,118
journey.,20
am,2378
risk,117
possible.,172
"Excellency,",13
Senor,8
"Colon,",4
experienced,25
concern,61
crew.,42
willing,149
conscience,23
loss,42
relied,4
upon,127
judgment.,10
cannot,324
ignore,47
according,53
"calculations,",4
circumference,1
Earth,78
approximately...,1
"22,000",1
leagues,12
more.,497
ocean...,3
uncrossable.,1
"am,",127
Eminence,1
"Unfortunately,",26
precisely,31
opinions,10
differ...,1
familiar,70
work,1622
Aristotle?,1
Erathostene?,1
Ptolemeus?,1
"Yes,",2280
Eminence.,3
voyage,10
six,593
seven,225
weeks.,149
sailing,22
west?,2
waste...?,1
"something,",285
Arojaz.,1
"mine,",77
remembered,56
his.,47
tragedy...,1
waste,152
life...,55
yourself.,544
On,550
"contrary,",13
preparing,27
cross.,11
rid,190
prophet,5
Sanchez.,5
Indeed.,15
full,477
mercenaries,1
states,20
often,123
"them,",380
welfare,16
prosperity,1
Spain.,9
mercenary!,1
convince,66
King,176
Portugal,3
absurd,6
notions?,1
Naturally.,19
deplore,2
opportunity,86
Spain,5
dispute,8
geography.,3
Judgment,1
ours!,2
reason,466
interested,283
man's,239
"proposition,",5
Eminence...,1
eyes,324
catch,355
moments,27
inside.,153
stay,1173
us,3353
little?,28
everything...,29
care?,65
free,305
Riches,1
"rich,",22
busier...,1
tried...,12
God...,116
beautiful!,23
taken,424
arrange,53
Fernando,4
Diego,28
service.,63
usually,192
ask.,91
"Beatrix,",1
decide.,31
wait,727
swear,230
anything.,634
believe.,75
Perhaps,256
meant,277
woman...,26
argue,49
sometimes.,98
here!,414
argue?,4
Well...,366
child,195
marry,276
me!,742
leaving...,5
given,305
worst,158
news.,137
be?,233
mainland,10
found.,35
would.,141
seaman.,1
week,330
sea.,34
disappointed.,17
Congratulations.,51
search,110
mainland.,8
Viceroy,3
West,95
Indies.,2
Appointment,1
letters,72
appointment.,18
Yes...,191
remember...,25
Alonso,1
de,125
Bobadilla.,1
Bartolome,1
Giacomo,2
Colon.,5
May,289
whom?,32
Forgive,83
Bobadilla,2
positions,10
taken.,25
soon,453
appointing,2
Governors,1
islands?,2
so?,158
first,1757
comes,656
start...,10
yet...,43
everything,1066
"remember,",109
Father.,61
From,392
beginning.,60
Everything.,38
one...,82
except,239
aboard,39
ships!,1
asks,52
visit,151
address.,58
"listening,",15
hearing.,12
There,1725
passage,26
ocean.,29
Father...,10
bad.,392
"feeling,",37
Fernando?,1
explore,19
do...,94
them!,142
Holy,162
Saints,3
heaven?,12
promise?,17
St.,118
Christopher...?,1
There'll,28
created,87
Roofs...,1
"towers,",1
palaces...,1
spires...,1
see?,258
window.,95
dreamer.,3
Call,316
call,2288
guards.,22
rise,36
"high,",25
dangerous,155
occupation.,7
hypocrisy,3
goes,581
long,1895
What...?,31
already?,31
special,249
talent,36
Good!,40
also,463
judges.,2
thieves!,1
"judge,",12
Dear,46
Cristobal.,1
lack,54
notaries.,1
contact,135
administration.,4
commoner?,1
defend,57
admirably...,1
gold?,12
sin,32
nakedness.,2
"nature,",19
ending,24
summer.,52
islands,6
"trees,",17
filled,73
blossoms,2
fruits.,1
And...,55
accept,152
"proposal,",3
will.,379
"ambitious,",3
Excellency?,3
ambition,7
virtue,16
among,96
"nobles,",1
us?,369
ambitious.,7
bargaining!,1
remind,107
"you,",4541
bargain,20
NO...!,1
"long,",131
fought,74
hard.,119
risks,9
profit!,2
servant!,1
No?,108
learned,170
language.,40
"Utapan,",1
Utapan.,1
did!,49
Ask,169
help.,430
understands.,4
peace.,56
Chief,109
understands?,2
medicine.,26
admire,65
says...,25
Thousands.,2
many?,43
country,298
beautiful.,214
leaving,268
build,153
fort.,5
thank,620
come!,29
first!,15
Island.,30
Far.,2
tribe?,3
island?,11
Cuba!,1
know...,495
impression,41
much.,600
is!,101
Oh?,90
man?,262
New,733
worlds,12
create,78
disagree.,7
suppose,478
both,664
Give,605
absolution.,1
believed,117
you...,772
bound,51
"oath,",7
"son,",136
son...,16
certitudes,1
frightening...,1
"Christopher,",1
"right,",1176
forgive,175
you...!,6
men!,9
sure...,55
twice,111
distance.,24
long?,115
lied.,37
journey,31
longer,198
said.,283
saying?,149
"Father,",58
betrayed,42
family.,234
men.,170
son.,297
sinned.,6
Nomine,1
Patris,2
et,19
"Filius,",1
Spiritus,1
Sancti.,1
Colon!,3
